"","Name","Type","Cat.","PP","Att.","Acc.","Effect","move_type"
"496","Icy Wind","","","15","55","95","The user attacks with a gust of chilled air. This also lowers opposing Pokémon's Speed stats.","special"
"497","Incinerate","","","15","60","100","The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable.","special"
"498","Infernal Parade","","","15","60","100","The user attacks with myriad fireballs. This may also leave the target with a burn. This moveâ<U+0080><U+0099>s power is doubled if the target has a status condition.","special"
"499","Inferno","","","5","100","50","The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.","special"
"500","Inferno Overdrive","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"501","Infestation","","","20","20","100","The target is infested and attacked for four to five turns. The target can't flee during this time.","special"
"502","Judgment","","","10","100","100","The user releases countless shots of light at the target. This move's type varies depending on the kind of Plate the user is holding.","special"
"503","Lava Plume","","","15","80","100","The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.","special"
"504","Leaf Storm","","","5","130","90","The user whips up a storm of leaves around the target. The attack's recoil harshly lowers the user's Sp. Atk stat.","special"
"505","Leaf Tornado","","","10","65","90","The user attacks its target by encircling it in sharp leaves. This attack may also lower the target's accuracy.","special"
"506","Light That Burns the Sky","","","1","200","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"507","Light of Ruin","","","5","140","90","Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user quite a lot.","special"
"508","Luster Purge","","","5","70","100","The user lets loose a damaging burst of light. This may also lower the target's Sp. Def stat.","special"
"509","Magical Leaf","","","20","60","101","The user scatters curious leaves that chase the target. This attack never misses.","special"
"510","Magma Storm","","","5","100","75","The target becomes trapped within a maelstrom of fire that rages for four to five turns.","special"
"511","Mega Drain","","","15","40","100","A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.","special"
"512","Menacing Moonraze Maelstrom","","","1","200","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"513","Meteor Beam","","","10","120","90","In this two-turn attack, the user gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.","special"
"514","Mind Blown","","","5","150","100","The user attacks everything around it by causing its own head to explode. This also damages the user.","special"
"515","Mirror Coat","","","20","--","100","A retaliation move that counters any special attack, inflicting double the damage taken.","special"
"516","Mirror Shot","","","10","65","85","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"517","Mist Ball","","","5","70","100","A mist-like flurry of down envelops and damages the target. This may also lower the target's Sp. Atk stat.","special"
"518","Misty Explosion","","","5","100","100","The user attacks everything around it and faints upon using this move. This move's power is increased on Misty Terrain.","special"
"519","Moonblast","","","15","95","100","Borrowing the power of the moon, the user attacks the target. This may also lower the target's Sp. Atk stat.","special"
"520","Moongeist Beam","","","5","100","100","The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Abilities.","special"
"521","Mud Bomb","","","10","65","85","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"522","Mud Shot","","","15","55","95","The user attacks by hurling a blob of mud at the target. This also lowers the target's Speed stat.","special"
"523","Mud-Slap","","","10","20","100","The user hurls mud in the target's face to inflict damage and lower its accuracy.","special"
"524","Muddy Water","","","10","90","85","The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.","special"
"525","Mystical Fire","","","10","75","100","The user attacks by breathing a special, hot fire. This also lowers the target's Sp. Atk stat.","special"
"526","Mystical Power","","","10","70","90","The user strengthens itself with a mysterious power. If it excels in offense, its offensive stats are raised. If it excels in defense, its defensive stats are raised.","special"
"527","Nature's Madness","","","10","--","90","The user hits the target with the force of nature. It halves the target's HP.","special"
"528","Never-Ending Nightmare","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"529","Night Daze","","","10","85","95","The user lets loose a pitch-black shock wave at its target. This may also lower the target's accuracy.","special"
"530","Night Shade","","","15","--","100","The user makes the target see a frightening mirage. It inflicts damage equal to the user's level.","special"
"531","Oblivion Wing","","","10","80","100","The user absorbs its target's HP. The user's HP is restored by over half of the damage taken by the target.","special"
"532","Oceanic Operetta","","","1","195","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"533","Octazooka","","","10","65","85","The user attacks by spraying ink in the target's face or eyes. This may also lower the target's accuracy.","special"
"534","Ominous Wind","","","5","60","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"535","Origin Pulse","","","10","110","85","The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.","special"
"536","Overdrive","","","10","80","100","The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration.","special"
"537","Overheat","","","5","130","90","The user attacks the target at full power. The attack's recoil harshly lowers the user's Sp. Atk stat.","special"
"538","Parabolic Charge","","","20","65","100","The user attacks everything around it. The user's HP is restored by half the damage taken by those hit.","special"
"539","Petal Dance","","","10","120","100","The user attacks the target by scattering petals for two to three turns. The user then becomes confused.","special"
"540","Photon Geyser","","","5","100","100","The user attacks a target with a pillar of light. This move inflicts Attack or Sp. Atk damage—whichever stat is higher for the user.","special"
"541","Pika Papow","","","20","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"542","Pollen Puff","","","15","90","100","The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.","special"
"543","Powder Snow","","","25","40","100","The user attacks with a chilling gust of powdery snow. This may also freeze opposing Pokémon.","special"
"544","Power Gem","","","20","80","100","The user attacks with a ray of light that sparkles as if it were made of gemstones.","special"
"545","Prismatic Laser","","","10","160","100","The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.","special"
"546","Psybeam","","","20","65","100","The target is attacked with a peculiar ray. This may also leave the target confused.","special"
"547","Psychic","","","10","90","100","The target is hit by a strong telekinetic force. This may also lower the target's Sp. Def stat.","special"
"548","Psycho Boost","","","5","140","90","The user attacks the target at full power. The attack's recoil harshly lowers the user's Sp. Atk stat.","special"
"549","Psyshock","","","10","80","100","The user materializes an odd psychic wave to attack the target. This attack does physical damage.","special"
"550","Psystrike","","","10","100","100","The user materializes an odd psychic wave to attack the target. This attack does physical damage.","special"
"551","Psywave","","","15","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"552","Razor Wind","","","10","80","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"553","Relic Song","","","10","75","100","The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.","special"
"554","Revelation Dance","","","15","90","100","The user attacks the target by dancing very hard. The user's type determines the type of this move.","special"
"555","Rising Voltage","","","20","70","100","The user attacks with electric voltage rising from the ground. This move's power doubles when the target is on Electric Terrain.","special"
"556","Roar of Time","","","5","150","90","The user blasts the target with power that distorts even time. The user can't move on the next turn.","special"
"557","Round","","","15","60","100","The user attacks the target with a song. Others can join in the Round to increase the power of the attack.","special"
"558","Sandsear Storm","","","5","95","80","The user attacks by wrapping the target in fierce winds and searingly hot sand. This also leaves the target with a burn.","special"
"559","Savage Spin-Out","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"560","Scald","","","15","80","100","The user shoots boiling hot water at its target. This may also leave the target with a burn.","special"
"561","Scorching Sands","","","10","70","100","The user throws scorching sand at the target to attack. This may also leave the target with a burn.","special"
"562","Searing Shot","","","5","100","100","The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.","special"
"563","Secret Sword","","","10","85","100","The user cuts with its long horn. The odd power contained in the horn does physical damage to the target.","special"
"564","Seed Flare","","","5","120","85","The user emits a shock wave from its body to attack its target. This may also harshly lower the target's Sp. Def stat.","special"
"565","Shadow Ball","","","15","80","100","The user hurls a shadowy blob at the target. This may also lower the target's Sp. Def stat.","special"
"566","Shattered Psyche","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"567","Sheer Cold","","","5","--","30","The target faints instantly. It's less likely to hit the target if it's used by Pokémon other than Ice types.","special"
"568","Shell Side Arm","","","10","90","100","This move inflicts physical or special damage, whichever will be more effective. This may also poison the target.","special"
"569","Shell Trap","","","5","150","100","The user sets a shell trap. If the user is hit by a physical move, the trap will explode and inflict damage on opposing Pokémon.","special"
"570","Shock Wave","","","20","60","101","The user strikes the target with a quick jolt of electricity. This attack never misses.","special"
"571","Signal Beam","","","15","75","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"572","Silver Wind","","","5","60","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"573","Sludge","","","20","65","100","Unsanitary sludge is hurled at the target. This may also poison the target.","special"
"574","Sludge Bomb","","","10","90","100","Unsanitary sludge is hurled at the target. This may also poison the target.","special"
"575","Sludge Wave","","","10","95","100","The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit.","special"
"576","Smog","","","20","30","70","The target is attacked with a discharge of filthy gases. This may also poison the target.","special"
"577","Snarl","","","15","55","95","The user yells as if it's ranting about something, which lowers the Sp. Atk stats of opposing Pokémon.","special"
"578","Snipe Shot","","","15","80","100","The user ignores the effects of opposing Pokémon's moves and Abilities that draw in moves, allowing this move to hit the chosen target.","special"
"579","Snore","","","15","50","100","This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.","special"
"580","Solar Beam","","","10","120","100","In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn.","special"
"581","Sonic Boom","","","20","--","90","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"582","Spacial Rend","","","5","100","95","The user tears the target along with the space around it. Critical hits land more easily.","special"
"583","Sparkling Aria","","","10","90","100","The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be healed by the touch of these bubbles.","special"
"584","Sparkly Swirl","","","5","120","85","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"585","Spit Up","","","10","--","100","The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the move's power.","special"
"586","Splishy Splash","","","15","90","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"587","Springtide Storm","","","5","95","80","The user attacks by wrapping the target in fierce winds brimming with love and hate. This moveâ<U+0080><U+0099>s additional effects depend on the userâ<U+0080><U+0099>s form.","special"
"588","Steam Eruption","","","5","110","95","The user immerses the target in superheated steam. This may also leave the target with a burn.","special"
"589","Steel Beam","","","5","140","95","The user fires a beam of steel that it collected from its entire body. This also damages the user.","special"
"590","Stoked Sparksurfer","","","1","175","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"591","Stored Power","","","10","20","100","The user attacks the target with stored power. The more the user's stats are raised, the greater the move's power.","special"
"592","Strange Steam","","","10","90","95","The user attacks the target by emitting steam. This may also confuse the target.","special"
"593","Struggle Bug","","","20","50","100","While resisting, the user attacks opposing Pokémon. This lowers the Sp. Atk stats of those hit.","special"
"594","Subzero Slammer","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"595","Supersonic Skystrike","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"596","Surf","","","15","90","100","The user attacks everything around it by swamping its surroundings with a giant wave.","special"
"597","Swift","","","20","60","101","Star-shaped rays are shot at opposing Pokémon. This attack never misses.","special"
"598","Synchronoise","","","10","120","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"599","Techno Blast","","","5","120","100","The user fires a beam of light at its target. The move's type changes depending on the Drive the user holds.","special"
"600","Tectonic Rage","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"601","Terrain Pulse","","","10","50","100","The user utilizes the power of the terrain to attack. This move's type and power changes depending on the terrain when it's used.","special"
"602","Thunder","","","10","110","70","A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.","special"
"603","Thunder Cage","","","15","80","90","The user traps the target in a cage of sparking electricity for four to five turns.","special"
"604","Thunder Shock","","","30","40","100","A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.","special"
"605","Thunderbolt","","","15","90","100","A strong electric blast crashes down on the target. This may also leave the target with paralysis.","special"
"606","Tri Attack","","","10","80","100","The user strikes with a simultaneous three-beam attack. This may also burn, freeze, or paralyze the target.","special"
"607","Trump Card","","","5","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"608","Twinkle Tackle","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"609","Twister","","","20","40","100","The user whips up a vicious tornado to tear at opposing Pokémon. This may also make them flinch.","special"
"610","Uproar","","","10","90","100","The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep.","special"
"611","Vacuum Wave","","","30","40","100","The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.","special"
"612","Venoshock","","","10","65","100","The user drenches the target in a special poisonous liquid. This move's power is doubled if the target is poisoned.","special"
"613","Volt Switch","","","20","70","100","After making its attack, the user rushes back to switch places with a party Pokémon in waiting.","special"
"614","Water Gun","","","25","40","100","The target is blasted with a forceful shot of water.","special"
"615","Water Pledge","","","10","80","100","A column of water hits the target. When used with its fire equivalent, its power increases and a rainbow appears.","special"
"616","Water Pulse","","","20","60","100","The user attacks the target with a pulsing blast of water. This may also confuse the target.","special"
"617","Water Shuriken","","","20","15","100","The user hits the target with throwing stars two to five times in a row. This move always goes first.","special"
"618","Water Spout","","","5","150","100","The user spouts water to damage opposing Pokémon. The lower the user's HP, the lower the move's power.","special"
"619","Weather Ball","","","10","50","100","This attack move varies in power and type depending on the weather.","special"
"620","Whirlpool","","","15","35","85","The user traps the target in a violent swirling whirlpool for four to five turns.","special"
"621","Wildbolt Storm","","","5","95","80","The user summons a thunderous tempest and savagely attacks with lightning and wind. This may also leave the target with paralysis.","special"
"622","Wring Out","","","5","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","special"
"623","Zap Cannon","","","5","120","50","The user fires an electric blast like a cannon to inflict damage and cause paralysis.","special"
"624","Acid Armor","","","20","--","101","The user alters its cellular structure to liquefy itself, sharply raising its Defense stat.","other"
"625","Acupressure","","","30","--","101","The user applies pressure to stress points, sharply boosting one of its or its allies' stats.","other"
"626","After You","","","15","--","101","The user helps the target and makes it use its move right after the user.","other"
"627","Agility","","","30","--","101","The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.","other"
"628","Ally Switch","","","15","--","101","The user teleports using a strange power and switches places with one of its allies.","other"
"629","Amnesia","","","20","--","101","The user temporarily empties its mind to forget its concerns. This sharply raises the user's Sp. Def stat.","other"
"630","Aqua Ring","","","20","--","101","The user envelops itself in a veil made of water. It regains some HP every turn.","other"
"631","Aromatherapy","","","5","--","101","The user releases a soothing scent that heals all status conditions affecting the user's party.","other"
"632","Aromatic Mist","","","20","--","101","The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.","other"
"633","Assist","","","20","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"634","Attract","","","15","--","100","If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.","other"
"635","Aurora Veil","","","20","--","101","This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.","other"
"636","Autotomize","","","15","--","101","The user sheds part of its body to make itself lighter and sharply raise its Speed stat.","other"
"637","Baby-Doll Eyes","","","30","--","100","The user stares at the target with its baby-doll eyes, which lowers the target's Attack stat. This move always goes first.","other"
"638","Baneful Bunker","","","10","--","101","In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.","other"
"639","Barrier","","","20","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"640","Baton Pass","","","40","--","101","The user switches places with a party Pokémon in waiting and passes along any stat changes.","other"
"641","Belly Drum","","","10","--","101","The user maximizes its Attack stat in exchange for HP equal to half its max HP.","other"
"642","Bestow","","","15","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"643","Block","","","5","--","101","The user blocks the target's way with arms spread wide to prevent escape.","other"
"644","Bulk Up","","","20","--","101","The user tenses its muscles to bulk up its body, raising both its Attack and Defense stats.","other"
"645","Calm Mind","","","20","--","101","The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.","other"
"646","Camouflage","","","20","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"647","Captivate","","","20","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"648","Celebrate","","","40","--","101","The Pokémon congratulates you on your special day!","other"
"649","Charge","","","20","--","101","The user boosts the power of the Electric move it uses on the next turn. This also raises the user's Sp. Def stat.","other"
"650","Charm","","","20","--","100","The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target's Attack stat.","other"
"651","Clangorous Soul","","","5","--","100","The user raises all its stats by using some of its HP.","other"
"652","Coaching","","","10","--","--","The user properly coaches its ally Pokémon, boosting their Attack and Defense stats.","other"
"653","Coil","","","20","--","101","The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.","other"
"654","Confide","","","20","--","101","The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target's Sp. Atk stat.","other"
"655","Confuse Ray","","","10","--","100","The target is exposed to a sinister ray that triggers confusion.","other"
"656","Conversion","","","30","--","101","The user changes its type to become the same type as the move at the top of the list of moves it knows.","other"
"657","Conversion 2","","","30","--","101","The user changes its type to make itself resistant to the type of the attack the target used last.","other"
"658","Copycat","","","20","--","101","The user mimics the move used immediately before it. The move fails if no other move has been used yet.","other"
"659","Corrosive Gas","","","40","--","100","The user surrounds everything around it with highly acidic gas and melts away items they hold.","other"
"660","Cosmic Power","","","20","--","101","The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.","other"
"661","Cotton Guard","","","10","--","101","The user protects itself by wrapping its body in soft cotton, which drastically raises the user's Defense stat.","other"
"662","Cotton Spore","","","40","--","100","The user releases cotton-like spores that cling to opposing Pokémon, which harshly lowers their Speed stats.","other"
"663","Court Change","","","10","--","100","With its mysterious power, the user swaps the effects on either side of the field.","other"
"664","Crafty Shield","","","10","--","101","The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage.","other"
"665","Curse","","","10","--","101","A move that works differently for the Ghost type than for all other types.","other"
"666","Dark Void","","","10","--","50","Opposing Pokémon are dragged into a world of total darkness that makes them sleep.","other"
"667","Decorate","","","15","--","101","The user sharply raises the target's Attack and Sp. Atk stats by decorating the target.","other"
"668","Defend Order","","","10","--","101","The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats.","other"
"669","Defense Curl","","","40","--","101","The user curls up to conceal weak spots and raise its Defense stat.","other"
"670","Defog","","","15","--","101","A strong wind blows away the target's barriers such as Reflect or Light Screen. This also lowers the target's evasiveness.","other"
"671","Destiny Bond","","","5","--","101","After using this move, if the user faints, the Pokémon that landed the knockout hit also faints. Its chance of failing rises if it is used in succession.","other"
"672","Detect","","","5","--","101","This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.","other"
"673","Disable","","","20","--","100","For four turns, this move prevents the target from using the move it last used.","other"
"674","Double Team","","","15","--","101","By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.","other"
"675","Dragon Dance","","","20","--","101","The user vigorously performs a mystic, powerful dance that raises its Attack and Speed stats.","other"
"676","Eerie Impulse","","","15","--","100","The user's body generates an eerie impulse. Exposing the target to it harshly lowers the target's Sp. Atk stat.","other"
"677","Electric Terrain","","","10","--","101","The user electrifies the ground for five turns, powering up Electric-type moves. Pokémon on the ground no longer fall asleep.","other"
"678","Electrify","","","20","--","101","If the target is electrified before it uses a move during that turn, the target's move becomes Electric type.","other"
"679","Embargo","","","15","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"680","Encore","","","5","--","100","The user compels the target to keep using the move it encored for three turns.","other"
"681","Endure","","","10","--","101","The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.","other"
"682","Entrainment","","","15","--","100","The user dances with an odd rhythm that compels the target to mimic it, making the target's Ability the same as the user's.","other"
"683","Extreme Evoboost","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"684","Fairy Lock","","","10","--","101","By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn.","other"
"685","Fake Tears","","","20","--","100","The user feigns crying to fluster the target, harshly lowering its Sp. Def stat.","other"
"686","Feather Dance","","","15","--","100","The user covers the target's body with a mass of down that harshly lowers its Attack stat.","other"
"687","Flash","","","20","--","100","The user flashes a light that lowers the target's accuracy. It can also be used to illuminate caves.","other"
"688","Flatter","","","15","--","100","Flattery is used to confuse the target. However, this also raises the target's Sp. Atk stat.","other"
"689","Floral Healing","","","10","--","101","The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.","other"
"690","Flower Shield","","","10","--","101","The user raises the Defense stats of all Grass-type Pokémon in battle with a mysterious power.","other"
"691","Focus Energy","","","30","--","101","The user takes a deep breath and focuses so that critical hits land more easily.","other"
"692","Follow Me","","","20","--","101","The user draws attention to itself, making all targets take aim only at the user.","other"
"693","Foresight","","","40","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"694","Forest's Curse","","","20","--","100","The user puts a forest curse on the target. The target is now Grass type as well.","other"
"695","Gastro Acid","","","10","--","100","The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target's Ability.","other"
"696","Gear Up","","","20","--","101","The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.","other"
"697","Geomancy","","","10","--","101","The user absorbs energy and sharply raises its Sp. Atk, Sp. Def, and Speed stats on the next turn.","other"
"698","Glare","","","30","--","100","The user intimidates the target with the pattern on its belly to cause paralysis.","other"
"699","Grass Whistle","","","15","--","55","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"700","Grassy Terrain","","","10","--","101","The user turns the ground to grass for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass-type moves.","other"
"701","Gravity","","","5","--","101","This move enables Flying-type Pokémon or Pokémon with the Levitate Ability to be hit by Ground-type moves. Moves that involve flying can't be used.","other"
"702","Growl","","","40","--","100","The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats.","other"
"703","Growth","","","20","--","101","The user's body grows all at once, raising the Attack and Sp. Atk stats.","other"
"704","Grudge","","","5","--","101","If the user faints, the user's grudge fully depletes the PP of the opponent's move that knocked it out.","other"
"705","Guard Split","","","10","--","101","The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.","other"
"706","Guard Swap","","","10","--","101","The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.","other"
"707","Hail","","","10","--","101","The user summons a hailstorm lasting five turns. It damages all Pokémon except Ice types.","other"
"708","Happy Hour","","","30","--","101","Using Happy Hour doubles the amount of prize money received after battle.","other"
"709","Harden","","","30","--","101","The user stiffens all the muscles in its body to raise its Defense stat.","other"
"710","Haze","","","30","--","101","The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.","other"
"711","Heal Bell","","","5","--","101","The user makes a soothing bell chime to heal the status conditions of all the party Pokémon.","other"
"712","Heal Block","","","15","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"713","Heal Order","","","10","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"714","Heal Pulse","","","10","--","101","The user emits a healing pulse that restores the target's HP by up to half of its max HP.","other"
"715","Healing Wish","","","10","--","101","The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured.","other"
"716","Heart Swap","","","10","--","101","The user employs its psychic power to switch stat changes with the target.","other"
"717","Helping Hand","","","20","--","101","The user assists an ally by boosting the power of that ally's attack.","other"
"718","Hold Hands","","","40","--","101","The user and an ally hold hands. This makes them very happy.","other"
"719","Hone Claws","","","15","--","101","The user sharpens its claws to boost its Attack stat and accuracy.","other"
"720","Howl","","","40","--","101","The user howls loudly to raise the spirit of itself and allies. This raises their Attack stats.","other"
"721","Hypnosis","","","20","--","60","The user employs hypnotic suggestion to make the target fall into a deep sleep.","other"
"722","Imprison","","","10","--","101","If opposing Pokémon know any move also known by the user, they are prevented from using it.","other"
"723","Ingrain","","","20","--","101","The user lays roots that restore its HP on every turn. Because it's rooted, it can't switch out.","other"
"724","Instruct","","","15","--","101","The user instructs the target to use the target's last move again.","other"
"725","Ion Deluge","","","25","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"726","Iron Defense","","","15","--","101","The user hardens its body's surface like iron, sharply raising its Defense stat.","other"
"727","Jungle Healing","","","10","--","101","The user becomes one with the jungle, restoring HP and healing any status conditions of itself and its ally Pokémon in battle.","other"
"728","Kinesis","","","15","--","80","The user distracts the target by bending a spoon. This lowers the target's accuracy.","other"
"729","King's Shield","","","10","--","101","The user takes a defensive stance while it protects itself from damage. It also lowers the Attack stat of any attacker that makes direct contact.","other"
"730","Laser Focus","","","30","--","101","The user concentrates intensely. The attack on the next turn always results in a critical hit.","other"
"731","Leech Seed","","","10","--","90","A seed is planted on the target. It steals some HP from the target every turn.","other"
"732","Leer","","","30","--","100","The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.","other"
"733","Life Dew","","","10","--","101","The user scatters mysterious water around and restores the HP of itself and its ally Pokémon in the battle.","other"
"734","Light Screen","","","30","--","101","A wondrous wall of light is put up to reduce damage from special attacks for five turns.","other"
"735","Lock-On","","","5","--","101","The user takes sure aim at the target. This ensures the next attack does not miss the target.","other"
"736","Lovely Kiss","","","10","--","75","With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep.","other"
"737","Lucky Chant","","","30","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"738","Lunar Blessing","","","10","--","101","The user heals its own status conditions and restores its HP. Incoming moves also become more likely to miss.","other"
"739","Lunar Dance","","","10","--","101","The user faints. In return, the Pokémon taking its place will have its status and HP fully restored.","other"
"740","Magic Coat","","","15","--","101","Moves like Leech Seed and moves that inflict status conditions are blocked by a barrier and reflected back to the user of those moves.","other"
"741","Magic Powder","","","20","--","100","The user scatters a cloud of magic powder that changes the target to Psychic type.","other"
"742","Magic Room","","","10","--","101","The user creates a bizarre area in which Pokémon's held items lose their effects for five turns.","other"
"743","Magnet Rise","","","10","--","101","The user levitates using electrically generated magnetism for five turns.","other"
"744","Magnetic Flux","","","20","--","101","The user manipulates magnetic fields, which raises the Defense and Sp. Def stats of ally Pokémon with the Plus or Minus Ability.","other"
"745","Mat Block","","","10","--","101","Using a pulled-up mat as a shield, the user protects itself and its allies from damaging moves. This does not stop status moves.","other"
"746","Max Guard","","","10","--","101","This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.","other"
"747","Me First","","","20","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"748","Mean Look","","","5","--","101","The user pins the target with a dark, arresting look. The target becomes unable to flee.","other"
"749","Meditate","","","40","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","other"
"750","Memento","","","10","--","100","The user faints when using this move. In return, this harshly lowers the target's Attack and Sp. Atk stats.","other"
"751","Metal Sound","","","40","--","85","A horrible sound like scraping metal harshly lowers the target's Sp. Def stat.","other"
